,,,Life Expectancy,,,,,,,,,,,,,,,,,,,,,,,,Premature Age-Adjusted Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Child Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Infant Mortality,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Physical Distress,,,Diabetes Prevalence,,,HIV Prevalence,,Adult Obesity,,,Frequent Mental Distress,,,Suicides,,,,,,,,,,,,,,,,,,,,,,,,,,Feelings of Loneliness,,,Limited Access to Healthy Foods,,Food Insecurity,,Insufficient Sleep,,,Teen Births,,,,,,,,,,,,,,,,,,,,,,,,Sexually Transmitted Infections,,Excessive Drinking,,,Alcohol-Impaired Driving Deaths,,,,,Drug Overdose Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Adult Smoking,,,Physical Inactivity,,,Uninsured Adults,,,,Uninsured Children,,,,Other Primary Care Providers,,Traffic Volume,Homeownership,,,,Severe Housing Cost Burden,,,,Access to Parks,Adverse Climate Events,,,,Census Participation,Voter Turnout,High School Graduation,,Reading Scores,,,,,,Math Scores,,,,,,School Segregation,School Funding Adequacy,,Children Eligible for Free or Reduced Price Lunch,Gender Pay Gap,,,,,Median Household Income,,,,,,,,,,,,,,,,,,Child Care Centers,,Residential Segregation - Black/White,Homicides,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle Crash Deaths,,,,,,,,,,,,,,,,,,,,,,,,,Firearm Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,Disconnected Youth,,,Lack of Social and Emotional Support,,,% Below 18 Years of Age,% 65 and Older,% Female,% American Indian or Alaska Native,,% Asian,,% Hispanic,,% Native Hawaiian or Other Pacific Islander,,% Non-Hispanic Black,,% Non-Hispanic White,,% Disability: Functional Limitations,% Not Proficient in English,,,,Children in Single-Parent Households,,,,,% Rural,,Population,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Hispanic (all races)),Life Expectancy (Hispanic (all races)) 95% CI - Low,Life Expectancy (Hispanic (all races)) 95% CI - High,Life Expectancy (Non-Hispanic AIAN),Life Expectancy (Non-Hispanic AIAN) 95% CI - Low,Life Expectancy (Non-Hispanic AIAN) 95% CI - High,Life Expectancy (Non-Hispanic Asian),Life Expectancy (Non-Hispanic Asian) 95% CI - Low,Life Expectancy (Non-Hispanic Asian) 95% CI - High,Life Expectancy (Non-Hispanic Black),Life Expectancy (Non-Hispanic Black) 95% CI - Low,Life Expectancy (Non-Hispanic Black) 95% CI - High,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander),Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Life Expectancy (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Life Expectancy (Non-Hispanic 2+ races),Life Expectancy (Non-Hispanic 2+ races) 95% CI - Low,Life Expectancy (Non-Hispanic 2+ races) 95% CI - High,Life Expectancy (Non-Hispanic White),Life Expectancy (Non-Hispanic White) 95% CI - Low,Life Expectancy (Non-Hispanic White) 95% CI - High,# Deaths,Age-Adjusted Death Rate,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Hispanic (all races)),Age-Adjusted Mortality (Hispanic (all races)) 95% CI - Low,Age-Adjusted Mortality (Hispanic (all races)) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic AIAN),Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic AIAN) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Asian),Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Asian) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Black),Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Black) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander),Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic 2+ races),Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic 2+ races) 95% CI - High,Age-Adjusted Mortality (Non-Hispanic White),Age-Adjusted Mortality (Non-Hispanic White) 95% CI - Low,Age-Adjusted Mortality (Non-Hispanic White) 95% CI - High,# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Hispanic (all races)),Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Rate (Non-Hispanic Asian),Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Rate (Non-Hispanic Black),Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Rate (Non-Hispanic White),Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Rate (Non-Hispanic White) 95% CI - High,# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Hispanic (all races)),Infant Mortality Rate (Hispanic (all races)) 95% CI - Low,Infant Mortality Rate (Hispanic (all races)) 95% CI - High,Infant Mortality Rate (Non-Hispanic AIAN),Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Infant Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Infant Mortality Rate (Non-Hispanic Asian),Infant Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Asian) 95% CI - High,Infant Mortality Rate (Non-Hispanic Black),Infant Mortality Rate (Non-Hispanic Black) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Black) 95% CI - High,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Infant Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Infant Mortality Rate (Non-Hispanic 2+ races),Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Infant Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Infant Mortality Rate (Non-Hispanic White),Infant Mortality Rate (Non-Hispanic White) 95% CI - Low,Infant Mortality Rate (Non-Hispanic White) 95% CI - High,% Frequent Physical Distress,95% CI - Low,95% CI - High,% Adults with Diabetes,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,% Adults with Obesity,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,# Deaths,Suicide Rate (Age-Adjusted),95% CI - Low,95% CI - High,Crude Rate,Suicide Rate (Hispanic (all races)),Suicide Rate (Hispanic (all races)) 95% CI - Low,Suicide Rate (Hispanic (all races)) 95% CI - High,Suicide Rate (Non-Hispanic AIAN),Suicide Rate (Non-Hispanic AIAN) 95% CI - Low,Suicide Rate (Non-Hispanic AIAN) 95% CI - High,Suicide Rate (Non-Hispanic Asian),Suicide Rate (Non-Hispanic Asian) 95% CI - Low,Suicide Rate (Non-Hispanic Asian) 95% CI - High,Suicide Rate (Non-Hispanic Black),Suicide Rate (Non-Hispanic Black) 95% CI - Low,Suicide Rate (Non-Hispanic Black) 95% CI - High,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Suicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Suicide Rate (Non-Hispanic 2+ races),Suicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Suicide Rate (Non-Hispanic 2+ races) 95% CI - High,Suicide Rate (Non-Hispanic White),Suicide Rate (Non-Hispanic White) 95% CI - Low,Suicide Rate (Non-Hispanic White) 95% CI - High,% feeling lonely,95% CI - Low,95% CI - High,# Limited Access to Healthy Foods,% Limited Access to Healthy Foods,# Food Insecure,% Food Insecure,% Insufficient Sleep,95% CI - Low,95% CI - High,Teen Birth Rate,95% CI - Low,95% CI - High,Teen Birth Rate (Hispanic (all races)),Teen Birth Rate (Hispanic (all races)) 95% CI - Low,Teen Birth Rate (Hispanic (all races)) 95% CI - High,Teen Birth Rate (Non-Hispanic AIAN),Teen Birth Rate (Non-Hispanic AIAN) 95% CI - Low,Teen Birth Rate (Non-Hispanic AIAN) 95% CI - High,Teen Birth Rate (Non-Hispanic Asian),Teen Birth Rate (Non-Hispanic Asian) 95% CI - Low,Teen Birth Rate (Non-Hispanic Asian) 95% CI - High,Teen Birth Rate (Non-Hispanic Black),Teen Birth Rate (Non-Hispanic Black) 95% CI - Low,Teen Birth Rate (Non-Hispanic Black) 95% CI - High,Teen Birth Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Teen Birth Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Teen Birth Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Teen Birth Rate (Non-Hispanic 2+ races),Teen Birth Rate (Non-Hispanic 2+ races) 95% CI - Low,Teen Birth Rate (Non-Hispanic 2+ races) 95% CI - High,Teen Birth Rate (Non-Hispanic White),Teen Birth Rate (Non-Hispanic White) 95% CI - Low,Teen Birth Rate (Non-Hispanic White) 95% CI - High,# Chlamydia Cases,Chlamydia Rate,% Excessive Drinking,95% CI - Low,95% CI - High,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,# Drug Overdose Deaths,Drug Overdose Mortality Rate,95% CI - Low,95% CI - High,Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High,% Adults Reporting Currently Smoking,95% CI - Low,95% CI - High,% Physically Inactive,95% CI - Low,95% CI - High,# Uninsured Adults,% Uninsured Adults,95% CI - Low,95% CI - High,# Uninsured Children,% Uninsured Children,95% CI - Low,95% CI - High,Other Primary Care Provider Rate,Other Primary Care Provider Ratio,Traffic Volume,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Households with Severe Cost Burden,95% CI - Low,95% CI - High,% with access to parks,Adverse Climate Events,Days above 90F,Weeks in moderate or greater drought,Disaster declarations,% Census Participation,% Voter Turnout,Cohort Size,High School Graduation Rate,Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Average Grade Performance,Average Grade Performance (AIAN),Average Grade Performance (Asian),Average Grade Performance (Black),Average Grade Performance (Hispanic),Average Grade Performance (White),Segregation Index,Spending per Pupil,School Funding Adequacy,% Enrolled in Free or Reduced Lunch,Women's Median Earnings,Men's Median Earnings,Gender Pay Gap,95% CI - Low,95% CI - High,Median Household Income,95% CI - Low,95% CI - High,Household Income (AIAN),Household Income (AIAN) 95% CI - Low,Household Income (AIAN) 95% CI - High,Household Income (Asian),Household Income (Asian) 95% CI - Low,Household Income (Asian) 95% CI - High,Household Income (Black),Household Income (Black) 95% CI - Low,Household Income (Black) 95% CI - High,Household Income (Hispanic),Household Income (Hispanic) 95% CI - Low,Household Income (Hispanic) 95% CI - High,Household Income (White),Household Income (White) 95% CI - Low,Household Income (White) 95% CI - High,# Child Care Centers,"Child Care Centers per 1,000 Children",Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,Homicide Rate (Hispanic (all races)),Homicide Rate (Hispanic (all races)) 95% CI - Low,Homicide Rate (Hispanic (all races)) 95% CI - High,Homicide Rate (Non-Hispanic AIAN),Homicide Rate (Non-Hispanic AIAN) 95% CI - Low,Homicide Rate (Non-Hispanic AIAN) 95% CI - High,Homicide Rate (Non-Hispanic Asian),Homicide Rate (Non-Hispanic Asian) 95% CI - Low,Homicide Rate (Non-Hispanic Asian) 95% CI - High,Homicide Rate (Non-Hispanic Black),Homicide Rate (Non-Hispanic Black) 95% CI - Low,Homicide Rate (Non-Hispanic Black) 95% CI - High,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Homicide Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Homicide Rate (Non-Hispanic 2+ races),Homicide Rate (Non-Hispanic 2+ races) 95% CI - Low,Homicide Rate (Non-Hispanic 2+ races) 95% CI - High,Homicide Rate (Non-Hispanic White),Homicide Rate (Non-Hispanic White) 95% CI - Low,Homicide Rate (Non-Hispanic White) 95% CI - High,# Motor Vehicle Deaths,Motor Vehicle Mortality Rate,95% CI - Low,95% CI - High,MV Mortality Rate (Hispanic (all races)),MV Mortality Rate (Hispanic (all races)) 95% CI - Low,MV Mortality Rate (Hispanic (all races)) 95% CI - High,MV Mortality Rate (Non-Hispanic AIAN),MV Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,MV Mortality Rate (Non-Hispanic AIAN) 95% CI - High,MV Mortality Rate (Non-Hispanic Asian),MV Mortality Rate (Non-Hispanic Asian) 95% CI - Low,MV Mortality Rate (Non-Hispanic Asian) 95% CI - High,MV Mortality Rate (Non-Hispanic Black),MV Mortality Rate (Non-Hispanic Black) 95% CI - Low,MV Mortality Rate (Non-Hispanic Black) 95% CI - High,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,MV Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,MV Mortality Rate (Non-Hispanic 2+ races),MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,MV Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,MV Mortality Rate (Non-Hispanic White),MV Mortality Rate (Non-Hispanic White) 95% CI - Low,MV Mortality Rate (Non-Hispanic White) 95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,Firearm Fatalities Rate (Hispanic (all races)),Firearm Fatalities Rate (Hispanic (all races)) 95% CI - Low,Firearm Fatalities Rate (Hispanic (all races)) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic AIAN),Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic AIAN) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Asian),Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Asian) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Black),Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Black) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic 2+ races),Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic 2+ races) 95% CI - High,Firearm Fatalities Rate (Non-Hispanic White),Firearm Fatalities Rate (Non-Hispanic White) 95% CI - Low,Firearm Fatalities Rate (Non-Hispanic White) 95% CI - High,% Disconnected Youth,95% CI - Low,95% CI - High,% lacking support,95% CI - Low,95% CI - High,% Below 18 Years of Age,% 65 and Over,% Female,# American Indian or Alaska Native,% American Indian or Alaska Native,# Asian,% Asian,# Hispanic,% Hispanic,# Native Hawaiian or Other Pacific Islander,% Native Hawaiian or Other Pacific Islander,# Non-Hispanic Black,% Non-Hispanic Black,# Non-Hispanic White,% Non-Hispanic White,% with disability,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,# Rural Residents,% Rural,Population,
37000,North Carolina,,75.9,75.9,76.0,,,,,,,,,,,,,,,,,,,,,,168309,445,442,447,,,,,,,,,,,,,,,,,,,,,,6404,62,60,63,,,,,,,,,,,,,,,,,,,,,,5762,7,7,7,,,,,,,,,,,,,,,,,,,,,,14,12,15,11,10,12,35016,385,34,32,36,16,14,18,7351,13,13,14,14,,,,,,,,,,,,,,,,,,,,,,31,29,33,715223,8,1493870,14,35,33,37,17,17,17,,,,,,,,,,,,,,,,,,,,,,64525,603.1,20,18,21,1879,7641,25,24,25,11437,36,35,37,,,,,,,,,,,,,,,,,,,,,,15,13,17,23,21,24,853517,14,13,14,118435,5,5,5,172,581:1,74,2778672,66,66,67,512020,13,12,13,41,,,,,,72.3,113515,86,3.1,,,,,,3.1,,,,,,0.20,12298,-2391,63,49054,58444,0.84,0.83,0.85,70838,70192,71484,,,,,,,,,,,,,,,,,9,53,8,7,8,,,,,,,,,,,,,,,,,,,,,,11393,16,15,16,,,,,,,,,,,,,,,,,,,,,,8182,16,15,16,,,,,,,,,,,,,,,,,,,,,,7,7,8,23,,,21.6,17.6,51.1,172807,1.6,399358,3.7,1238421,11.4,16677,0.2,2274873,21.0,6573391,60.7,32,251690,3,2,3,625328,2317725,27,27,27,3474661,33.3,10835491,
37001,North Carolina,Alamance,75.4,75.0,75.8,86.5,81.1,91.9,,,,85.8,81.6,90.1,70.9,69.9,71.9,,,,,,,75.8,75.3,76.3,2843,461,443,479,265,214,316,,,,,,,640,594,686,,,,,,,446,425,468,101,57,46,68,30,16,53,,,,,,,113,81,153,,,,,,,50,37,67,96,7,6,9,,,,,,,,,,12,9,17,,,,,,,6,4,8,14,12,15,11,10,13,513,343,38,31,45,18,16,20,111,12,10,15,13,,,,,,,,,,7,4,12,,,,,,,16,12,20,32,27,37,16794,11,24560,14,37,30,43,15,14,16,28,25,32,,,,,,,23,20,26,,,,27,19,36,9,7,10,847,480.3,20,16,24,28,106,26,21,32,166,32,27,37,14,7,26,,,,,,,36,25,49,,,,,,,36,29,42,17,15,20,26,22,30,15698,15,13,17,2053,5,4,7,105,948:1,80,44903,66,64,67,7351,11,10,12,32,1,170,19,4,63.7,71.3,1870,87,2.9,,3.3,2.6,2.7,3.3,2.9,,3.6,2.4,2.8,3.2,0.10,12211,-2234,65,46522,53982,0.86,0.82,0.91,66395,60386,72404,71250,33437,109063,112542,65158,159926,48936,43484,54388,59716,51912,67520,71275,69020,73530,63,6,42,7,6,9,,,,,,,,,,20,15,27,,,,,,,4,2,5,170,14,12,17,10,6,17,,,,,,,19,14,26,,,,,,,15,12,17,122,14,12,17,,,,,,,,,,23,17,31,,,,,,,14,11,18,5,3,7,23,20,27,21.9,17.4,52.1,2762,1.5,3793,2.1,27657,15.4,219,0.1,38345,21.4,104955,58.6,33,5530,3,3,4,10000,38762,26,22,30,45330,26.4,179165,
37003,North Carolina,Alexander,74.1,73.2,75.0,87.7,72.2,103.3,,,,,,,73.7,70.7,76.7,,,,,,,73.8,72.7,74.8,754,520,481,560,,,,,,,,,,575,415,777,,,,,,,531,488,574,20,62,38,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,15,10,8,11,51,161,34,27,42,18,16,20,35,19,13,27,19,,,,,,,,,,,,,,,,,,,,,,31,26,37,2825,8,5440,15,34,28,41,18,15,21,29,17,45,,,,,,,,,,,,,,,,17,14,20,67,183.5,21,17,25,6,28,21,12,32,26,24,15,34,,,,,,,,,,,,,,,,,,,,,,16,14,19,23,19,27,2979,14,12,17,368,5,3,7,49,2026:1,9,11348,82,78,85,969,7,5,9,2,1,79,30,5,66.3,69.7,334,84,3.2,,,,3.1,3.2,3.1,,,,3.1,3.1,0.04,12879,44,57,42974,50828,0.85,0.76,0.93,62976,54154,71798,,,,86615,24555,148675,60084,27137,93031,54950,10001,99899,65913,59229,72597,20,13,72,5,3,9,,,,,,,,,,,,,,,,,,,,,,48,18,14,24,,,,,,,,,,,,,,,,,,,,,,34,18,13,26,,,,,,,,,,,,,,,,,,,,,,10,3,16,23,19,26,19.6,20.7,48.6,221,0.6,465,1.3,2118,5.8,32,0.1,2023,5.5,31123,85.3,32,204,1,0,1,1714,7129,24,17,31,32466,89.1,36473,
37005,North Carolina,Alleghany,77.3,75.5,79.0,,,,,,,,,,,,,,,,,,,,,,227,423,359,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,17,11,10,13,7,71,37,29,45,20,18,22,14,30,15,52,25,,,,,,,,,,,,,,,,,,,,,,32,27,38,222,2,1980,18,35,28,42,30,22,39,,,,,,,,,,,,,,,,,,,,,,16,143.0,19,15,24,2,8,25,7,46,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,22,27,23,32,1234,20,17,24,130,7,4,9,62,1620:1,1,3891,77,73,81,504,11,8,14,16,1,0,22,4,44.8,68.4,96,88,3.0,,,,,,3.2,,,,,,0.03,15572,-7,68,39861,48173,0.83,0.59,1.06,46571,41803,51339,,,,,,,46354,28774,63934,42413,36921,47905,46028,38637,53419,7,15,28,,,,,,,,,,,,,,,,,,,,,,,,,19,24,15,38,,,,,,,,,,,,,,,,,,,,,,12,22,11,38,,,,,,,,,,,,,,,,,,,,,,,,,23,19,27,16.9,29.1,50.0,87,0.8,87,0.8,1307,11.5,7,0.1,272,2.4,9514,83.9,37,159,1,0,3,452,1838,25,13,36,10888,100.0,11342,
37007,North Carolina,Anson,70.4,69.1,71.6,,,,,,,,,,68.3,66.4,70.2,,,,,,,71.6,69.9,73.4,609,712,652,772,,,,,,,,,,824,730,917,,,,,,,659,573,745,25,123,80,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,17,14,12,16,79,413,43,35,52,19,17,21,18,14,8,23,15,,,,,,,,,,,,,,,,,,,,,,33,28,38,1247,5,3570,16,41,34,49,31,26,36,33,16,60,,,,,,,40,32,49,,,,,,,19,13,27,197,887.3,16,13,20,11,31,35,26,45,21,31,19,47,,,,,,,,,,,,,,,,,,,,,,20,18,23,29,24,34,1773,15,13,18,191,4,3,6,46,2190:1,32,5455,66,62,70,1306,17,13,22,8,1,296,55,3,51.3,58.3,227,89,2.8,,,2.5,,3.5,2.8,,,2.3,,3.8,0.06,14107,-11089,99,37253,42004,0.89,0.73,1.04,50503,45315,55691,,,,,,,34088,27521,40655,63133,57243,69023,49831,40400,59262,13,12,27,23,16,31,,,,,,,,,,,,,,,,,,,,,,49,29,22,39,,,,,,,,,,30,19,44,,,,,,,29,18,45,35,30,21,41,,,,,,,,,,45,29,66,,,,,,,19,9,35,,,,27,24,31,20.1,20.2,48.8,215,1.0,376,1.7,1013,4.6,21,0.1,10268,46.9,9715,44.4,38,146,1,0,2,1966,4435,44,34,55,17152,77.8,21897,
37009,North Carolina,Ashe,75.7,74.6,76.8,,,,,,,,,,,,,,,,,,,,,,577,474,430,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,10,8,11,13,54,34,27,42,18,16,20,38,27,19,39,28,,,,,,,,,,,,,,,,,,,,,,32,27,37,2887,11,4350,16,34,27,41,25,21,30,43,25,69,,,,,,,,,,,,,,,,24,19,29,37,136.5,21,17,26,2,18,11,2,25,14,17,9,29,,,,,,,,,,,,,,,,,,,,,,17,15,20,24,20,28,2372,16,13,18,301,6,4,9,111,902:1,1,9405,78,76,81,1046,9,7,12,26,1,0,20,6,51.9,72.9,188,83,3.2,,,,2.7,3.3,3.0,,,,2.8,3.1,0.01,13780,2494,62,38961,45244,0.86,0.71,1.01,54589,48692,60486,161050,144123,177977,,,,61372,59799,62945,,,,51215,47119,55311,6,6,65,,,,,,,,,,,,,,,,,,,,,,,,,31,16,11,23,,,,,,,,,,,,,,,,,,,,,,27,20,13,29,,,,,,,,,,,,,,,,,,,,,,,,,21,18,25,16.4,28.0,50.2,154,0.6,141,0.5,1657,6.1,19,0.1,240,0.9,24602,90.9,32,262,1,0,2,1162,4552,26,17,34,26577,100.0,27063,
37011,North Carolina,Avery,75.9,74.5,77.2,,,,,,,,,,,,,,,,,,,,,,316,431,379,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,15,10,9,12,26,164,33,26,41,18,16,20,17,17,10,27,19,,,,,,,,,,,,,,,,,,,,,,31,27,36,34,0,2710,15,34,27,41,18,14,23,30,14,55,,,,,,,,,,,,,,,,18,13,23,23,130.9,21,17,26,1,10,10,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,17,15,19,23,19,27,1634,18,15,21,173,7,4,9,63,1596:1,5,5245,80,77,83,492,8,5,11,100,1,0,19,4,34.3,64.7,152,88,2.9,,,,,,2.8,,,,,,0.09,15311,336,62,41851,45271,0.92,0.75,1.10,55922,47592,64252,,,,,,,,,,47734,33696,61772,58176,53921,62431,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,9,23,,,,,,,,,,,,,,,,,,,,,,20,23,14,35,,,,,,,,,,,,,,,,,,,,,,,,,22,19,25,14.5,24.2,46.1,139,0.8,138,0.8,1092,6.2,16,0.1,686,3.9,15366,87.5,33,156,1,0,2,405,2506,16,9,23,17806,100.0,17561,
